group,1d,2d,pop 2021
0-11,468.0,44.0,1079338
12-17,398474.0,4652.0,529446
18-29,810690.0,120225.0,1216440
30-39,801517.0,154566.0,1118629
40-49,877823.0,237697.0,1115327
50-59,975652.0,387364.0,1155183
60-69,1059494.0,674611.0,1168854
70-79,730166.0,567608.0,783129
80 plus,390646.0,321408.0,425520
Total 12+,6044462.0,2468131.0,7512528
Total,6044930.0,2468175.0,8591866
